resource_type,grade_level,poverty_level,school_state,date_posted,total_donations
Books,Grades 3-5,highest poverty,MI,2013-12-15,50.0
Technology,Grades 3-5,moderate poverty,TN,2011-03-20,10.0
Supplies,Grades 3-5,high poverty,SC,2007-09-26,40.0
Technology,Grades 9-12,highest poverty,MN,2013-06-14,50.0
Books,Grades 3-5,highest poverty,MO,2010-12-22,92.05
Technology,Grades PreK-2,moderate poverty,GA,2010-11-14,15.0
Technology,Grades PreK-2,highest poverty,CA,2011-02-13,100.0
Books,Grades 3-5,highest poverty,PA,2011-01-08,75.0
Books,Grades 3-5,highest poverty,NY,2012-10-16,30.0
Books,Grades PreK-2,moderate poverty,PA,2007-10-10,20.0
Books,Grades PreK-2,highest poverty,IL,2010-12-09,110.0
Books,Grades PreK-2,high poverty,CA,2011-12-21,391.85
Other,Grades 9-12,high poverty,FL,2011-01-31,25.0
Supplies,Grades 3-5,high poverty,PA,2013-03-21,10.0
Supplies,Grades 3-5,highest poverty,NY,2011-12-18,80.0
Supplies,Grades 6-8,high poverty,NY,2013-04-30,25.0
Supplies,Grades 9-12,highest poverty,MD,2010-02-02,197.27
Technology,Grades PreK-2,moderate poverty,ME,2011-12-09,71.0
Books,Grades PreK-2,high poverty,IN,2013-01-16,23.5
Supplies,Grades 3-5,highest poverty,VA,2010-07-27,50.0
Supplies,Grades PreK-2,moderate poverty,GA,2012-04-04,25.0
Supplies,Grades 3-5,highest poverty,OH,2011-02-26,140.87
Supplies,Grades PreK-2,moderate poverty,MI,2013-12-22,10.0
Supplies,Grades 3-5,highest poverty,AZ,2010-01-26,25.0
Other,Grades 6-8,highest poverty,PA,2010-09-19,15.0
Books,Grades 9-12,highest poverty,NY,2013-01-28,50.0
Technology,Grades PreK-2,highest poverty,MS,2013-11-10,1.0
Supplies,Grades 6-8,high poverty,HI,2010-10-31,3.0
Books,Grades PreK-2,high poverty,CA,2011-08-24,150.0
Supplies,Grades PreK-2,highest poverty,MI,2009-07-22,25.0
Technology,Grades 3-5,highest poverty,CA,2008-11-09,78.0
Other,Grades 6-8,highest poverty,IL,2011-08-27,25.0
Books,Grades PreK-2,highest poverty,MD,2013-10-08,25.0
Supplies,Grades 9-12,high poverty,FL,2011-01-21,15.0
Supplies,Grades 6-8,highest poverty,IL,2011-11-27,135.0
Supplies,Grades PreK-2,highest poverty,IL,2010-12-06,15.0
Supplies,Grades PreK-2,highest poverty,FL,2012-04-08,25.0
Books,Grades 3-5,highest poverty,NY,2013-11-04,1.0
Books,Grades PreK-2,high poverty,IN,2012-07-05,156.44
Supplies,Grades 3-5,high poverty,PA,2009-01-04,25.0
Supplies,Grades 6-8,moderate poverty,WI,2013-10-12,75.0
Books,Grades 9-12,highest poverty,NY,2011-10-23,50.0
Supplies,Grades 9-12,high poverty,IL,2011-06-03,25.0
Technology,Grades 3-5,highest poverty,CT,2013-08-22,50.0
Books,Grades PreK-2,low poverty,TX,2011-11-04,25.0
Supplies,Grades PreK-2,high poverty,ME,2013-05-27,1.0
Technology,Grades 9-12,highest poverty,CA,2010-08-07,25.0
Books,Grades PreK-2,highest poverty,AZ,2012-09-21,50.0
Technology,Grades PreK-2,high poverty,CA,2013-08-28,100.0
Other,Grades PreK-2,highest poverty,NY,2010-07-12,395.51
Supplies,Grades PreK-2,highest poverty,DE,2011-03-07,50.0
Supplies,Grades PreK-2,highest poverty,CA,2012-03-04,20.0
Books,Grades 3-5,highest poverty,TX,2009-07-22,48.91
Books,Grades 6-8,high poverty,CA,2012-01-02,10.0
Technology,Grades 3-5,highest poverty,NC,2013-08-27,20.0
Supplies,Grades 3-5,highest poverty,FL,2012-01-08,279.39
Books,Grades 3-5,highest poverty,IL,2005-07-12,411.0
Other,Grades 3-5,highest poverty,CO,2012-08-28,78.59
Books,Grades 3-5,highest poverty,NC,2008-06-07,208.36
Supplies,Grades PreK-2,highest poverty,OH,2011-04-29,1.0
Supplies,Grades 3-5,highest poverty,LA,2012-04-14,82.89
Books,Grades 6-8,moderate poverty,MN,2011-09-17,50.0
Technology,Grades 9-12,high poverty,CA,2012-02-16,10.0
Other,Grades 6-8,highest poverty,NY,2012-12-28,75.0
Books,Grades 3-5,low poverty,CA,2013-10-09,50.0
Supplies,Grades PreK-2,highest poverty,CA,2011-09-18,20.0
Books,Grades PreK-2,high poverty,CA,2012-01-22,100.0
Technology,Grades 9-12,highest poverty,NJ,2011-06-27,110.34
Other,Grades 6-8,highest poverty,NC,2008-09-08,25.0
Supplies,Grades PreK-2,highest poverty,GA,2013-07-22,12.0
Other,Grades 3-5,highest poverty,IL,2010-12-18,15.0
Supplies,Grades PreK-2,high poverty,NJ,2013-11-04,275.69
Technology,Grades PreK-2,highest poverty,NC,2013-09-16,50.0
Technology,Grades 9-12,highest poverty,SC,2009-03-05,98.41
Supplies,Grades 9-12,highest poverty,HI,2013-03-13,50.0
Supplies,Grades PreK-2,highest poverty,DC,2006-07-12,21.0
Technology,Grades 9-12,highest poverty,CA,2010-01-19,40.0
Books,Grades 3-5,highest poverty,MS,2010-06-28,5.0
Books,Grades 9-12,highest poverty,VA,2009-10-03,100.0
Supplies,Grades 6-8,highest poverty,CA,2013-10-18,72.69
Technology,Grades 6-8,highest poverty,NC,2013-01-17,50.0
Other,Grades PreK-2,highest poverty,FL,2011-03-24,10.0
Supplies,Grades PreK-2,highest poverty,NY,2011-02-21,20.0
Supplies,Grades 6-8,highest poverty,NY,2013-09-27,25.0
Books,Grades 3-5,highest poverty,CA,2010-10-26,10.0
Books,Grades PreK-2,moderate poverty,GA,2010-12-12,150.0
Supplies,Grades PreK-2,highest poverty,CT,2012-07-28,5.0
Supplies,Grades PreK-2,moderate poverty,IL,2010-09-06,15.0
Supplies,Grades 3-5,highest poverty,IN,2013-02-05,1.0
Technology,Grades 3-5,high poverty,CA,2012-01-31,15.0
Trips,Grades 9-12,low poverty,IL,2012-04-26,383.45
Technology,Grades PreK-2,highest poverty,CA,2013-04-29,20.0
Other,Grades 3-5,highest poverty,CT,2010-05-26,260.0
Books,Grades 6-8,highest poverty,IN,2012-09-03,50.0
Technology,Grades PreK-2,high poverty,IN,2010-12-22,15.0
Technology,Grades 3-5,highest poverty,MA,2011-12-06,50.0
Technology,Grades 6-8,highest poverty,TX,2010-09-11,50.0
Technology,Grades 3-5,highest poverty,NC,2013-01-01,25.0
Supplies,Grades 6-8,moderate poverty,WA,2012-11-17,50.0
Supplies,Grades 6-8,highest poverty,IN,2013-01-24,50.0
Supplies,Grades PreK-2,high poverty,CA,2013-10-20,25.0
Supplies,Grades 9-12,highest poverty,GA,2013-07-03,5.0
Books,Grades 3-5,high poverty,AL,2013-03-25,2.0
Supplies,Grades 9-12,high poverty,MI,2010-12-06,15.0
Technology,Grades 9-12,highest poverty,CA,2011-03-26,35.0
Books,Grades PreK-2,moderate poverty,SC,2006-12-13,160.0
Supplies,Grades 3-5,highest poverty,MI,2012-10-24,25.0
Technology,Grades PreK-2,highest poverty,NC,2012-12-15,10.0
Technology,Grades 6-8,high poverty,NC,2010-03-29,489.37
Technology,Grades PreK-2,highest poverty,CA,2011-01-27,3.0
Supplies,Grades 6-8,highest poverty,NY,2011-02-26,12.0
Supplies,Grades 6-8,highest poverty,MS,2010-11-09,5.0
Technology,Grades 3-5,highest poverty,NC,2013-11-15,2539.47
Supplies,Grades 3-5,highest poverty,NJ,2010-04-25,20.0
Books,Grades 6-8,moderate poverty,MD,2010-12-29,15.0
Supplies,Grades 6-8,highest poverty,NY,2013-12-09,25.0
Books,Grades 3-5,moderate poverty,WA,2011-10-09,10.0
Supplies,Grades 3-5,high poverty,AR,2011-08-29,200.0
Supplies,Grades PreK-2,high poverty,CA,2011-12-11,15.0
Supplies,Grades 6-8,highest poverty,IN,2012-08-30,20.0
Books,Grades 9-12,high poverty,IL,2012-10-02,25.0
Technology,Grades 6-8,high poverty,TX,2008-09-17,506.51
Supplies,Grades 9-12,highest poverty,NY,2009-05-03,120.0
Supplies,Grades PreK-2,low poverty,PA,2012-10-08,32.31
Supplies,Grades PreK-2,highest poverty,PA,2013-09-03,20.0
Supplies,Grades 6-8,moderate poverty,TN,2011-04-04,5.82
Technology,Grades 6-8,highest poverty,NY,2013-09-12,494.62
Books,Grades 9-12,highest poverty,MA,2013-08-16,25.0
Technology,Grades PreK-2,high poverty,CA,2012-06-03,50.0
Other,Grades PreK-2,high poverty,AZ,2013-11-30,25.0
Supplies,Grades PreK-2,moderate poverty,WA,2011-05-03,25.0
Supplies,Grades PreK-2,high poverty,DC,2011-12-22,786.1
Technology,Grades PreK-2,moderate poverty,TN,2011-04-03,10.0
Technology,Grades 3-5,high poverty,CA,2012-01-19,15.0
Technology,Grades PreK-2,highest poverty,NY,2013-10-12,100.0
Supplies,Grades PreK-2,moderate poverty,OR,2010-04-12,337.8
Supplies,Grades 6-8,highest poverty,MI,2012-08-25,50.0
Supplies,Grades PreK-2,moderate poverty,VA,2011-01-08,21.0
Books,Grades 6-8,moderate poverty,PA,2009-09-08,25.0
Technology,Grades 3-5,high poverty,CA,2012-01-15,15.0
Supplies,Grades PreK-2,highest poverty,TX,2009-09-19,35.0
Supplies,Grades 3-5,highest poverty,PA,2012-12-08,25.0
Technology,Grades 6-8,highest poverty,IL,2010-10-09,50.0
Technology,Grades 6-8,high poverty,CA,2012-02-04,94.47
Supplies,Grades 3-5,high poverty,CA,2011-02-14,5.0
Other,Grades 3-5,high poverty,PA,2013-11-22,50.0
Trips,Grades 3-5,highest poverty,OR,2013-01-14,1.0
Other,Grades PreK-2,moderate poverty,NC,2013-01-24,10.0
Technology,Grades PreK-2,low poverty,CA,2010-10-15,5.0
Supplies,Grades 3-5,highest poverty,OK,2007-12-18,109.07
Technology,Grades 6-8,highest poverty,CT,2010-08-30,25.0
Supplies,Grades PreK-2,low poverty,CA,2011-11-25,15.0
Supplies,Grades PreK-2,highest poverty,OR,2010-08-02,10.0
Technology,Grades 9-12,high poverty,GA,2011-12-09,10.0
Books,Grades PreK-2,low poverty,VA,2011-09-07,10.0
Supplies,Grades 3-5,highest poverty,CA,2011-12-14,15.0
Technology,Grades 6-8,highest poverty,CA,2011-12-17,15.0
Books,Grades 9-12,highest poverty,NY,2009-12-12,25.0
Technology,Grades 9-12,moderate poverty,FL,2008-09-17,80.0
Supplies,Grades PreK-2,highest poverty,CA,2011-01-08,96.0
Supplies,Grades PreK-2,high poverty,CA,2012-11-30,299.39
Technology,Grades 9-12,moderate poverty,AZ,2011-08-30,25.0
Other,Grades PreK-2,highest poverty,AL,2011-06-12,2.0
Books,Grades PreK-2,highest poverty,WA,2012-01-21,100.0
Books,Grades 3-5,high poverty,TN,2011-05-05,50.0
Technology,Grades 3-5,high poverty,WA,2011-10-16,10.0
Technology,Grades 3-5,highest poverty,CA,2012-01-15,15.0
Technology,Grades 6-8,high poverty,CA,2011-09-22,7.5
Technology,Grades PreK-2,high poverty,VA,2013-12-27,477.05
Books,Grades 6-8,moderate poverty,UT,2010-07-28,6.0
Technology,Grades 3-5,high poverty,TN,2013-03-24,50.0
Technology,Grades PreK-2,highest poverty,NY,2012-04-22,110.53
Books,Grades PreK-2,highest poverty,CO,2009-05-11,112.21
Technology,Grades 9-12,high poverty,RI,2013-11-19,25.0
Other,Grades PreK-2,moderate poverty,CA,2011-12-27,15.0
Technology,Grades 6-8,high poverty,CA,2013-09-01,20.0
Technology,Grades PreK-2,highest poverty,WA,2013-01-27,10.0
Books,Grades 3-5,high poverty,GA,2010-12-17,17.0
Supplies,Grades 3-5,moderate poverty,CA,2012-01-07,15.0
Supplies,Grades PreK-2,highest poverty,OK,2009-08-01,108.33
Books,Grades 6-8,highest poverty,IN,2011-01-23,25.0
Supplies,Grades PreK-2,highest poverty,TN,2011-04-12,21.06
Books,Grades PreK-2,highest poverty,NY,2012-03-04,25.0
Supplies,Grades PreK-2,highest poverty,SC,2010-07-04,5.0
Supplies,Grades PreK-2,highest poverty,OK,2011-08-29,25.0
Visitors,Grades 9-12,highest poverty,IN,2011-02-25,5.0
Other,Grades 3-5,high poverty,VA,2010-11-15,10.0
Supplies,Grades 3-5,highest poverty,ME,2011-06-21,25.0
Supplies,Grades PreK-2,highest poverty,MD,2013-01-28,15.0
Technology,Grades 6-8,highest poverty,CA,2009-11-10,443.68
Technology,Grades 9-12,highest poverty,IL,2011-08-10,100.0
Technology,Grades 9-12,highest poverty,NY,2013-09-12,161.01
Technology,Grades 6-8,moderate poverty,AZ,2011-07-25,94.5
Technology,Grades 3-5,highest poverty,MS,2011-01-23,25.0
Other,Grades PreK-2,moderate poverty,IN,2011-02-20,25.0
Technology,Grades PreK-2,moderate poverty,OK,2013-08-16,25.0
Technology,Grades 9-12,highest poverty,CA,2012-02-02,10.0
Books,Grades 9-12,highest poverty,IL,2012-10-05,20.0
Supplies,Grades PreK-2,high poverty,LA,2013-10-17,30.0
Books,Grades 3-5,high poverty,ME,2012-11-12,1.0
Technology,Grades 3-5,highest poverty,CA,2010-05-11,20.0
Books,Grades 9-12,highest poverty,PA,2010-09-05,50.0
Technology,Grades PreK-2,highest poverty,IL,2010-08-20,20.0
Books,Grades 9-12,highest poverty,CA,2011-02-14,35.0
Supplies,Grades 6-8,highest poverty,CA,2013-10-22,50.0
Technology,Grades 9-12,low poverty,CA,2012-01-15,15.0
Books,Grades PreK-2,high poverty,WA,2010-12-15,25.0
Technology,Grades PreK-2,highest poverty,CA,2012-01-09,15.0
Supplies,Grades PreK-2,moderate poverty,FL,2011-03-22,15.0
Other,Grades 6-8,high poverty,NC,2013-01-12,2.0
Books,Grades 9-12,highest poverty,MN,2010-12-08,15.0
Technology,Grades 3-5,highest poverty,CA,2012-01-20,50.0
Other,Grades PreK-2,highest poverty,TX,2013-09-08,50.0
Books,Grades 9-12,highest poverty,OR,2013-01-26,50.0
Technology,Grades PreK-2,high poverty,TX,2011-02-13,160.8
Supplies,Grades 3-5,highest poverty,MD,2011-08-02,10.0
Books,Grades 3-5,highest poverty,PA,2011-08-28,50.0
Books,Grades 9-12,highest poverty,CA,2006-12-01,50.0
Technology,Grades 9-12,highest poverty,CA,2011-06-02,100.0
Supplies,Grades 9-12,highest poverty,MS,2013-12-08,94.26
Books,Grades 6-8,highest poverty,TN,2011-01-18,50.0
Other,Grades PreK-2,highest poverty,MS,2011-07-14,25.0
Books,Grades 9-12,highest poverty,CO,2013-12-20,20.0
Books,Grades 3-5,highest poverty,OR,2012-01-26,50.0
Supplies,Grades 3-5,high poverty,CA,2012-02-13,25.0
Books,Grades 9-12,highest poverty,NY,2008-10-14,50.0
Books,Grades PreK-2,moderate poverty,UT,2013-10-11,10.0
Technology,Grades PreK-2,highest poverty,CA,2012-11-23,209.47
Supplies,Grades 3-5,high poverty,CA,2009-10-24,10.0
Technology,Grades PreK-2,low poverty,MA,2013-10-20,30.0
Books,Grades 3-5,high poverty,CA,2013-01-28,25.0
Trips,Grades 9-12,highest poverty,NY,2013-10-01,30.0
Technology,Grades 6-8,highest poverty,NY,2010-03-26,38.79
Supplies,Grades PreK-2,highest poverty,CA,2010-12-23,100.0
Technology,Grades 3-5,moderate poverty,TN,2011-03-20,25.0
Supplies,Grades 6-8,high poverty,FL,2012-12-06,100.0
Technology,Grades PreK-2,high poverty,OR,2013-09-08,50.0
Books,Grades PreK-2,highest poverty,AZ,2009-09-21,45.0
Technology,Grades 3-5,highest poverty,NC,2013-11-12,60.0
Supplies,Grades 6-8,highest poverty,NY,2011-06-19,98.54
Supplies,Grades PreK-2,high poverty,CA,2012-01-27,15.0
Books,Grades 3-5,highest poverty,WI,2013-09-12,100.0
Supplies,Grades 6-8,highest poverty,NY,2009-08-05,54.0
Books,Grades PreK-2,highest poverty,IL,2010-11-25,1.0
Books,Grades 6-8,moderate poverty,FL,2011-01-17,651.59
Supplies,Grades PreK-2,highest poverty,CA,2011-12-08,30.0
Books,Grades 3-5,high poverty,SC,2007-10-09,50.0
Books,Grades 3-5,high poverty,CA,2010-10-20,15.0
Supplies,Grades 6-8,highest poverty,NY,2007-08-24,50.0
Supplies,Grades 3-5,moderate poverty,CA,2012-02-11,1.0
Technology,Grades 6-8,highest poverty,MD,2013-08-19,50.0
Technology,Grades 3-5,high poverty,CA,2010-12-19,15.0
Technology,Grades 9-12,highest poverty,CA,2010-10-21,15.0
Supplies,Grades 9-12,high poverty,MS,2010-08-09,197.41
Supplies,Grades PreK-2,highest poverty,MA,2009-08-29,10.0
Technology,Grades 9-12,high poverty,GA,2011-02-22,172.35
Technology,Grades 9-12,highest poverty,NY,2013-11-30,96.0
Supplies,Grades 3-5,highest poverty,CA,2012-12-09,50.0
Other,Grades PreK-2,highest poverty,TN,2012-11-21,147.65
Supplies,Grades 3-5,highest poverty,OH,2013-02-06,50.0
Other,Grades 6-8,highest poverty,NJ,2010-09-25,15.0
Books,Grades 6-8,high poverty,SC,2012-04-22,5.0
Books,Grades 3-5,high poverty,NC,2011-02-05,3.62
Technology,Grades 3-5,moderate poverty,TX,2012-10-28,10.0
Supplies,Grades 3-5,high poverty,MI,2013-10-04,50.0
Books,Grades 9-12,highest poverty,NY,2010-07-29,15.0
Books,Grades PreK-2,highest poverty,SD,2010-02-05,20.0
Technology,Grades 6-8,highest poverty,NJ,2012-11-29,20.0
Technology,Grades 3-5,highest poverty,CA,2012-01-21,15.0
Technology,Grades 6-8,moderate poverty,PA,2010-11-29,44.0
Technology,Grades 3-5,highest poverty,SC,2012-06-12,100.0
Technology,Grades 3-5,high poverty,CA,2012-01-30,15.0
Other,Grades PreK-2,high poverty,PA,2012-04-14,100.0
Technology,Grades 6-8,moderate poverty,CA,2012-12-12,75.0
Technology,Grades 3-5,high poverty,CA,2009-03-10,142.35
Books,Grades PreK-2,highest poverty,PA,2011-05-17,312.14
Other,Grades PreK-2,highest poverty,WA,2012-02-26,13.18
Supplies,Grades 3-5,low poverty,CA,2013-09-03,25.0
Books,Grades 9-12,high poverty,MI,2010-10-20,200.0
Supplies,Grades 3-5,high poverty,MD,2012-02-07,50.0
Other,Grades 3-5,moderate poverty,FL,2011-02-13,25.0
Supplies,Grades 9-12,highest poverty,MO,2010-08-27,100.0
Supplies,Grades 9-12,highest poverty,ME,2012-11-21,10.0
Technology,Grades PreK-2,highest poverty,OR,2011-04-16,25.0
Technology,Grades 6-8,highest poverty,FL,2013-10-01,50.0
Technology,Grades PreK-2,high poverty,WA,2011-02-26,2.0
Supplies,Grades 3-5,highest poverty,NY,2009-12-17,25.0
Technology,Grades PreK-2,highest poverty,CA,2011-07-14,231.88
Technology,Grades 6-8,high poverty,TX,2013-10-27,10.0
Supplies,Grades PreK-2,high poverty,CA,2012-01-17,15.0
Books,Grades PreK-2,high poverty,CA,2012-01-28,15.0
Technology,Grades 3-5,highest poverty,IL,2005-10-28,1113.92
Supplies,Grades 3-5,high poverty,MO,2012-05-13,30.0
Books,Grades 3-5,low poverty,MO,2010-10-06,15.0
Supplies,Grades 6-8,highest poverty,MN,2011-03-09,10.0
Books,Grades PreK-2,high poverty,CA,2012-01-20,10.0
Supplies,Grades 9-12,highest poverty,NY,2009-05-22,269.7
Supplies,Grades PreK-2,highest poverty,IL,2010-04-23,25.0
Other,Grades 6-8,high poverty,IL,2010-09-23,5.0
Books,Grades 9-12,moderate poverty,WA,2013-08-28,20.0
Supplies,Grades 6-8,highest poverty,GA,2013-08-31,2.0
Books,Grades 3-5,moderate poverty,NY,2010-08-21,15.0
Technology,Grades PreK-2,highest poverty,NY,2013-10-07,25.0
Technology,Grades 6-8,high poverty,MO,2011-08-16,10.0
Supplies,Grades PreK-2,moderate poverty,GA,2010-10-24,50.0
Other,Grades 3-5,highest poverty,FL,2013-08-17,137.35
Technology,Grades 3-5,highest poverty,SC,2009-12-19,25.0
Supplies,Grades PreK-2,high poverty,CA,2009-09-30,21.0
Supplies,Grades PreK-2,highest poverty,MI,2007-12-02,200.0
Supplies,Grades PreK-2,highest poverty,GA,2012-02-12,5.0
Books,Grades PreK-2,high poverty,CA,2011-11-30,9.0
Technology,Grades PreK-2,high poverty,CA,2009-12-10,25.0
Supplies,Grades PreK-2,high poverty,VA,2013-09-27,20.0
Books,Grades PreK-2,highest poverty,LA,2009-10-27,109.45
Technology,Grades PreK-2,highest poverty,AR,2013-05-28,256.64
Technology,Grades 9-12,highest poverty,CA,2010-09-05,25.0
Technology,Grades PreK-2,highest poverty,CA,2012-01-15,222.89
Other,Grades 9-12,highest poverty,CA,2011-03-18,35.0
Books,Grades 3-5,highest poverty,NY,2008-12-11,236.47
Supplies,Grades PreK-2,high poverty,TX,2010-10-31,14.0
Supplies,Grades PreK-2,moderate poverty,CA,2013-09-12,582.84
Books,Grades 9-12,highest poverty,NM,2010-12-05,25.0
Supplies,Grades PreK-2,highest poverty,NC,2009-11-20,25.0
Technology,Grades PreK-2,moderate poverty,TN,2011-04-05,25.0
Supplies,Grades PreK-2,highest poverty,KY,2012-04-16,105.0
Supplies,Grades PreK-2,moderate poverty,CA,2008-11-30,300.0
Books,Grades 9-12,highest poverty,NY,2012-09-01,231.41
Technology,Grades PreK-2,high poverty,NY,2012-10-15,64.0
Books,Grades 3-5,highest poverty,FL,2012-02-26,186.4
Technology,Grades 9-12,highest poverty,NC,2012-07-16,25.0
Other,Grades 9-12,highest poverty,CA,2012-01-19,15.0
Supplies,Grades PreK-2,highest poverty,NY,2009-09-10,50.0
Technology,Grades 3-5,highest poverty,NC,2011-01-11,25.0
Books,Grades 6-8,high poverty,TX,2010-12-09,15.0
Books,Grades 3-5,moderate poverty,UT,2009-10-02,78.17
Technology,Grades 3-5,highest poverty,CA,2012-01-14,15.0
Technology,Grades 9-12,highest poverty,PA,2011-12-08,50.0
Supplies,Grades PreK-2,high poverty,CA,2010-02-23,10.0
Books,Grades 3-5,highest poverty,FL,2012-12-11,25.0
Books,Grades 6-8,high poverty,WA,2012-10-07,100.0
Technology,Grades 9-12,highest poverty,IL,2013-09-21,25.0
Technology,Grades 3-5,high poverty,CA,2012-01-21,10.0
Other,Grades PreK-2,highest poverty,CA,2010-09-01,39.01
Technology,Grades PreK-2,high poverty,CA,2012-12-28,100.0
Technology,Grades 3-5,moderate poverty,FL,2011-04-02,10.0
Technology,Grades 3-5,highest poverty,CA,2010-06-15,269.08
Other,Grades PreK-2,highest poverty,AZ,2010-01-14,18.0
Supplies,Grades PreK-2,high poverty,IL,2013-12-31,5.0
Technology,Grades PreK-2,moderate poverty,CA,2012-01-31,50.0
Supplies,Grades 3-5,highest poverty,NM,2012-10-14,117.0
Supplies,Grades 9-12,high poverty,CA,2009-09-21,25.0
Technology,Grades 3-5,highest poverty,FL,2013-10-11,282.93
Supplies,Grades PreK-2,moderate poverty,MN,2011-08-20,1.0
Technology,Grades 3-5,highest poverty,OK,2013-10-12,25.0
Supplies,Grades 3-5,highest poverty,GA,2013-08-24,1.0
Supplies,Grades 9-12,highest poverty,CA,2010-03-30,5.0
Supplies,Grades 3-5,highest poverty,AZ,2013-03-31,10.0
Supplies,Grades PreK-2,high poverty,FL,2011-03-25,25.0
Technology,Grades PreK-2,moderate poverty,NC,2011-11-01,169.19
Supplies,Grades 3-5,highest poverty,AL,2013-12-21,1.0
Technology,Grades 9-12,highest poverty,NY,2013-09-13,30.0
Supplies,Grades 3-5,highest poverty,OH,2012-01-08,10.0
Technology,Grades PreK-2,highest poverty,MN,2011-10-02,41.21
Books,Grades 9-12,highest poverty,IL,2009-12-23,67.3
Technology,Grades 3-5,low poverty,RI,2012-03-07,50.0
Supplies,Grades PreK-2,highest poverty,IL,2012-04-08,37.95
Books,Grades PreK-2,highest poverty,FL,2008-10-11,10.0
Supplies,Grades PreK-2,highest poverty,CA,2013-01-05,5.0
Supplies,Grades 3-5,high poverty,KY,2012-04-25,163.67
Supplies,Grades 3-5,moderate poverty,FL,2013-09-26,1.0
Supplies,Grades PreK-2,highest poverty,OR,2012-10-23,10.0
Supplies,Grades 9-12,highest poverty,CA,2011-08-24,100.0
Books,Grades 9-12,highest poverty,CA,2013-04-15,50.0
Books,Grades 9-12,high poverty,OK,2010-10-17,93.0
